,word,i,def
0,Unique,0,"Being the only one of its kind, typically unique or special in some respect"
1,Unique,1,Distinctive to a person or thing
2,Unique,2,"Characteristic or, or particular to, someone or something"
3,Unique,3,Strange or outside of the norm
4,Unique,4,"Being a single, sole or solitary member a kind, type, or class"
5,Unique,5,"Extraordinarily, exceptionally or wonderfully rare"
6,Unique,6,Inconceivable or mind-boggling
7,Unique,7,"Modern, unfamiliar, or different"
8,Unique,8,Differing from or in conflict with each other
9,Unique,9,Inspiring or feeling hope and optimism
10,Unique,10,"Unique, such that it cannot be mistaken for something else"
11,Unique,11,Belonging or relating exclusively or distinctively to
12,Unique,12,Holding one's attention
13,Unique,13,(rare) Something unequaled or unparalleled
14,Novel,0,Interestingly new or unusual
15,Novel,1,Causing laughter and providing entertainment
16,Novel,2,"Not yet used, done, or tested"
17,Novel,3,A fictitious prose narrative
18,Novel,4,(a book) A product that's just been made available to the public
19,Novel,5,"Written works, especially those considered of superior or lasting artistic merit"
20,Novel,6,A written work
21,Novel,7,A book or film dealing with love in a sentimental or idealized way
22,Instrumental,0,Serving as an effective means of pursuing an aim or goal
23,Instrumental,1,"Being, or related to, a musical composition, typically without lyrics"
24,Instrumental,2,"(music) Without words or lyrics, using only instruments"
25,Instrumental,3,Producing an advantage or benefit
26,Instrumental,4,Of great or significant value
27,Instrumental,5,Exerting power over the minds or behavior of others
28,Instrumental,6,Able to be utilized
29,Instrumental,7,(of an object or situation) Significant in degree of importance or urgency
30,Instrumental,8,"Serving as an instrument or means, typically in law"
31,Instrumental,9,"A musical composition, typically written or performed without lyrics"
32,Energetic,0,"Showing, having or involving great activity or vitality"
33,Energetic,1,"Behaving, spoken or done in a determined and forceful way"
34,Energetic,2,Exhibiting healthy vigor or spirit
35,Energetic,3,Requiring or involving physical effort
36,Energetic,4,Ambitious or driven towards a particular goal
37,Energetic,5,"Significant or extreme in degree or intensity, especially of emotion"
38,Energetic,6,Able to persuade or convince
39,Energetic,7,"Loudly cheerful, enthusiastic or approbatory"
40,Energetic,8,"In good health, fitness or condition"
41,Energetic,9,Characterized by wild or chaotic energy or action
42,Energetic,10,Full of fervor
43,Energetic,11,"Full of, or evocative of, expression or emotion"
44,Energetic,12,Having or producing a sudden sense of thrilling excitement
45,Energetic,13,Recovered or reinvigorated
46,Energetic,14,"Bold, audacious or showy in behavior or manner"
47,Energetic,15,(of something inanimate or abstract) Successful in producing a desired or intended result
48,Energetic,16,Full of action
49,Energetic,17,Exhibiting radioactivity
50,Energetic,18,Easily excitable with an excessive amount of energy
51,Energetic,19,Creative in energy and output
52,Energetic,20,Providing great utility or usefulness
53,Energetic,21,"Influential or powerful in rank, position, or status"
54,Impartial,0,"Treating all parties, rivals, or disputants equally"
55,Impartial,1,Showing a lack of interest or care
56,Impartial,2,Having sound or fair judgment based on good sense
57,Impartial,3,Of judges or the administration of justice
58,Impartial,4,Wavering in one's opinion
59,Impartial,5,Totally fairly and undoubtedly
60,Fluent,0,Able to express oneself easily and articulately
61,Fluent,1,Able to speak or write a particular foreign language easily and accurately
62,Fluent,2,Smoothly graceful and effortless
63,Fluent,3,"Requiring little effort, or encountering minimal resistance"
64,Fluent,4,Tending to talk a lot
65,Fluent,5,"Fluent and easy, often in an insincere or deceptive way"
66,Fluent,6,Pronounced or flowing without any jar or harshness
67,Fluent,7,Competent or skilled in doing or using something
68,Fluent,8,"Of a substance that is flowing, and keeping no shape, such as water"
69,Fluent,9,Bilingual or multilingual
70,Fluent,10,Free from interruptions or stoppages
71,Fluent,11,Expressed in terms intended to persuade or impress
72,Fluent,12,Able to be read or deciphered
73,Fluent,13,Expressing opinions or feelings freely or loudly
74,Fluent,14,Expressive or eloquent in nature
75,Methodical,0,In an organized manner
76,Methodical,1,Involving analysis or logical thinking
77,Methodical,2,Clean and tidy in appearance or character
78,Methodical,3,Showing great attention to detail
79,Methodical,4,Marked by a person's overall balance in skill and ability from a performance
80,Methodical,5,Involving great effort or determination
81,Methodical,6,Reasonable and convincing
82,Methodical,7,Regular and even throughout
83,Methodical,8,Done with full awareness of the likely consequences
84,Methodical,9,Involving or using a methodical approach
85,Methodical,10,Even-tempered and reasonable
86,Methodical,11,Done regularly and repeatedly
87,Constructive,0,Carefully considered and meant to be helpful
88,Constructive,1,Advantageous to one's aims or goals
89,Constructive,2,Suggested without being stated directly
90,Constructive,3,Capable of forming something
91,Constructive,4,Producing new ideas or products
92,Constructive,5,Pertaining to architecture
93,Constructive,6,Beneficial to one's health
94,Constructive,7,"Relating to intellectual or artistic progress, advancement or achievements"
95,Consistent,0,"Unchanging in nature, standard, or effect"
96,Consistent,1,(consistent with) Compatible or in agreement with something
97,Consistent,2,Related or correlated in some way
98,Consistent,3,Reasonable and convincing
99,Consistent,4,Unanimous or undivided
100,Consistent,5,Made up of exactly similar parts facing each other or around an axis
101,Consistent,6,In an organized manner
102,Consistent,7,Devoted completely to one object
103,Consistent,8,Characteristic of a particular person or thing
104,Consistent,9,Likely to perform in difficult circumstances
105,Consistent,10,Relevant or important with regard to (a subject or matter)
106,Consistent,11,Free from defect or error
107,Logical,0,Of or according to the rules of logic or formal argument
108,Logical,1,"Characterized by or capable of clear, sound reasoning"
109,Logical,2,"(of an action, decision, etc.) Expected or sensible under the circumstances"
110,Logical,3,Having a valid reason
111,Logical,4,(of a system) Capable of maximizing productivity at no expense of extra resources
112,Logical,5,Relating to dialectic or dialectics
113,Logical,6,Having or showing a calm attitude towards disappointments or difficulties
114,Logical,7,Able to be comprehended
115,Logical,8,Concerned with theories or hypotheses rather than with practical matters
116,Logical,9,(consistent with) Compatible or in agreement with something
117,Logical,10,In ascending order of a writing system
118,Logical,11,Free from defect or error
119,Logical,12,Not subjected to an interrogation
120,Logical,13,Fair and balanced
121,Superior,0,Higher in rank
122,Superior,1,Better qualified or more skilled
123,Superior,2,(superior to) Higher in quality
124,Superior,3,(of objects) The best of its kind or class
125,Superior,4,(of people) The best of its kind or class
126,Superior,5,Luxurious or upmarket
127,Superior,6,Disdainful or condescending in nature
128,Superior,7,Being victorious in a contest
129,Superior,8,Larger in size
130,Superior,9,Located above
131,Superior,10,Very good in standard or quality
132,Superior,11,Better than some other option
133,Superior,12,"Making a show of being morally better than others, especially hypocritically"
134,Superior,13,In common or general use
135,Superior,14,In a version or form that has been improved or made better than some other standard form
136,Superior,15,Not explainable by physical laws
137,Superior,16,Done with care and precision
138,Superior,17,A person of higher rank
139,Superior,18,A victor in a contest
140,Superior,19,Snob
141,Superior,20,Head nun
142,Superior,21,Noticeably superior to
143,First-class,0,Of the very best of its class
144,First-class,1,Exceptionally good in standard or quality
145,First-class,2,"Luxurious, catering to those who are rich and wealthy"
146,First-class,3,"Denotes a well-dressed person, typically but not necessarily a male"
147,First-class,4,Express mail
148,First-class,5,Noticeably superior to
149,First-class,6,A group that is superior in terms of ability or qualities to the rest of a similar group
150,First-class,7,A single delivery or collection of mail
151,Insightful,0,Having or showing an accurate and deep understanding
152,Insightful,1,Having knowledge of events before they take place
153,Insightful,2,Signifying or carrying a special meaning
154,Insightful,3,Cutting or incisive
155,Insightful,4,Cogent or compelling in nature
156,Harmonious,0,Musically or melodically tuneful or melodious
157,Harmonious,1,Having different elements in the correct proportions
158,Harmonious,2,Free from disagreement or dissent
159,Harmonious,3,"Consistent, compatible, or in agreement with something else or a whole"
160,Harmonious,4,Combining in such a way as to enhance or emphasize the qualities of each other or another
161,Harmonious,5,Unanimous or undivided
162,Harmonious,6,Of or pertaining to synergy
163,Harmonious,7,"Peaceful, free from conflict or hostilities"
164,Harmonious,8,(of a place or setting) Having a personable or relaxed atmosphere
165,Harmonious,9,"Appropriate, relevant, or significant"
166,Harmonious,10,Being in a state or environment free from strife or disturbance
167,Harmonious,11,"In conformance to, or in agreement with"
168,Harmonious,12,Providing perfect happiness or great joy
169,Harmonious,13,"Consistent with, or similar to, something else"
170,Harmonious,14,Sensible and emotionally stable
171,Harmonious,15,Having or relating to rhythm
172,Harmonious,16,Free from defect or error
173,Harmonious,17,Denoting or characterized by a harmonious relationship between the elements of a whole
174,Harmonious,18,"Characterized by fullness, clarity, strength, and smoothness of sound"
175,Harmonious,19,Having compatibility or harmony
176,Practical,0,"Realistic and pragmatic, rather than fashionable or attractive"
177,Practical,1,Suitable for a particular purpose
178,Practical,2,So nearly the case that it can be regarded as so
179,Practical,3,"Of, or concerned with, the actual doing or use of something, rather than with theory and ideas"
180,Practical,4,Concerned with making decisions and actions that are useful in practice
181,Practical,5,"Very pragmatic or realistic, lacking emotion or artificiality"
182,Practical,6,Producing an advantage or benefit
183,Practical,7,"Displaying outstanding skill, knowledge, or experience in a given field"
184,Practical,8,Skilled or dexterous at a particular task
185,Practical,9,"Having or indicating an efficient, practical, and systematic approach to one's work or a task"
186,Practical,10,"Commonplace or ordinary, typically related to, or used in, regular life"
187,Practical,11,Having the ability to put available resources to efficient or ingenious use
188,Practical,12,Involving or concerned with applied and industrial science or technology
189,Practical,13,Denotes a constructive or productive feeling
190,Practical,14,Easily acquirable or used
191,Practical,15,Designed to be easy for an untrained user to use
192,Practical,16,Able to be thought or imagined
193,Practical,17,Pithy
194,Practical,18,Implicit
195,Practical,19,Characterized by economy and good management of money and resources
196,Practical,20,"(of an action, decision, etc.) Expected or sensible under the circumstances"
197,Practical,21,Of or concerned with material values or ordinary life rather than a spiritual existence
