,word,i,def
0,Disciplined,0,Showing a controlled form of behavior or way of working
1,Disciplined,1,Complying or willing to comply with an order or request
2,Disciplined,2,"(of a rule or discipline) Rigidly enforced, typically demanding total obedience or observance"
3,Disciplined,3,Showing self-restraint or abstemious moderation
4,Disciplined,4,"Having or indicating an efficient, practical, and systematic approach to one's work or a task"
5,Disciplined,5,Educated or schooled in a given field
6,Disciplined,6,"Hardened or desensitized, typically to hardship, work, or something generally undesirable"
7,Disciplined,7,"Austere, frugal, characterized by self-denial"
8,Disciplined,8,"Domesticated and tamed, especially of, or as, a pet"
9,Disciplined,9,Having the relevant or required qualifications or skills
10,Disciplined,10,Marked by moderate behavior not given to excesses
11,Disciplined,11,Done regularly and repeatedly
12,Disciplined,12,Past tense for to punish or rebuke formally for an offense
13,Disciplined,13,Past tense for to bring someone or something under control
14,Disciplined,14,(discipline oneself to do something) Past tense for to train oneself to do something in a controlled and habitual way
15,Driven,0,Passionately motivated to achieve one's goals
16,Driven,1,Excessively or unpleasantly self-assertive or ambitious
17,Driven,2,Resulting from or acting from a compulsion
18,Driven,3,"Obliged by law, circumstances, or duty to do something"
19,Driven,4,Operated by the means specified
20,Driven,5,Having been transported or conveyed to a different place or location
21,Driven,6,Ruled or administered by some authority
22,Driven,7,To have caused a response after a particular event
23,Driven,8,Past participle for to operate and control the direction and speed of a motor vehicle
24,Driven,9,Past participle for to move or urge on mentally or emotionally
25,Driven,10,Past participle for to urge or push inward through force
26,Driven,11,Past participle for to propel or carry along by force in a specified direction
27,Driven,12,Past participle for to transport or be transported in a vehicle
28,Driven,13,"Past participle for to travel by automobile, usually a car"
29,Driven,14,Past participle for to impel or urge physically onward by force
30,Driven,15,Past participle for to impel or force someone towards work or exertion
31,Driven,16,"Past participle for to move past at a great speed, usually in a vehicle"
32,Driven,17,"Past participle for to activate, or to put into motion"
33,Driven,18,Past participle for to cause to give in to pressure or harassment
34,Driven,19,Past participle for to navigate or pilot a vehicle or vessel
35,Driven,20,Past participle for to hasten the progress of or make easier
36,Driven,21,(lead to) Past participle for to culminate or result in a particular event or consequence
37,Driven,22,"Past participle for to puncture or pierce with a sharp, pointed object"
38,Driven,23,"Past participle for to implant or ingrain, literally or into one's consciousness"
39,Driven,24,Past participle for to move somewhere in a slow and steady way
40,Driven,25,Past participle for to insert or introduce between or among others
41,Driven,26,Past participle for to handle or operate something
42,Driven,27,"Past participle for to change, progress, or develop in a specified way"
43,Driven,28,"Past participle for to (excessively) exert for a particular task, purpose or goal"
44,Driven,29,Past participle for to drive out from hiding or cover
45,Driven,30,(of an automobile) Past participle for to have in one's possession for use
46,Driven,31,"Past participle for to drive a motor vehicle in order to evaluate it, especially before potential purchase"
47,Driven,32,"Past participle for to place, fit, or push (something) into something else"
48,Driven,33,Past participle for to direct one's attention or focus on a particular object or activity
49,Driven,34,Past participle for to go on a voyage or journey
50,Driven,35,Past participle for to insert beneath a surface
51,Driven,36,"Past participle for to campaign or advocate on an issue or for change, typically politically"
52,Driven,37,Past participle for to command like an officer
53,Driven,38,"Past participle for to strike or propel, usually forcibly, with the foot"
54,Driven,39,"Past participle for to drive away, or cause to go in a specified direction"
55,Driven,40,Past participle for to pierce and make a hole or holes in
56,Driven,41,Past participle for to throw or launch something in a given direction
57,Driven,42,Past participle for to assemble or congregate in one place or as a group
58,Driven,43,Past participle for to draw out or empty a space or container
59,Driven,44,Past participle for to campaign to arouse public concern and action about an issue
60,Driven,45,Past participle for to move smoothly along a surface while maintaining contact with it
61,Driven,46,"Past participle for to move, demolish, or flatten with a bulldozer"
62,Driven,47,Past participle for travel some distance between one's home and place of work on a regular basis
