,0
0,"Aberdeen, MD"
1,"Aberdeen, SD"
2,"Aberdeen, WA"
3,"Abilene, TX"
4,"Ada, OK"
5,"Addison, IL"
6,"Addison, TX"
7,"Adelanto, CA"
8,"Adrian, MI"
9,"Agawam, MA"
10,"Agoura Hills, CA"
11,"Ahwatukee, AZ"
12,"Aiken, SC"
13,"Akron, OH"
14,"Alameda, CA"
15,"Alamogordo, NM"
16,"Albany, GA"
17,"Albany, NY"
18,"Albany, OR"
19,"Albemarle, NC"
20,"Albert Lea, MN"
21,"Albuquerque, NM"
22,"Alcoa, TN"
23,"Alexandria, LA"
24,"Alexandria, VA"
25,"Alice, TX"
26,"Allen Park, MI"
27,"Allentown, PA"
28,"Allen, TX"
29,"Alliance, OH"
30,"Alma, MI"
31,"Alpena, MI"
32,"Alpharetta, GA"
33,"Altamont, OR"
34,"Alton, IL"
35,"Altoona, PA"
36,"Altus, OK"
37,"Amarillo, TX"
38,"American Canyon, CA"
39,"American Fork, UT"
40,"Americus, GA"
41,"Ames, IA"
42,"Amherst, MA"
43,"Amsterdam, NY"
44,"Anchorage, AK"
45,"Anderson, IN"
46,"Anderson, SC"
47,"Andover, CT"
48,"Andover, MA"
49,"Angleton, TX"
50,"Anna Maria, FL"
51,"Annapolis Junction, MD"
52,"Annapolis, MD"
53,"Ann Arbor, MI"
54,"Ansonia, CT"
55,"Antelope, CA"
56,"Anthem, AZ"
57,"Antioch, CA"
58,"Antioch, TN"
59,"Apache Junction, AZ"
60,"Apopka, FL"
61,"Appleton, WI"
62,"Apple Valley, CA"
63,"Apple Valley, MN"
64,"Arcata, CA"
65,"Ardmore, OK"
66,"Arlington Heights, IL"
67,"Arlington, TX"
68,"Arlington, VA"
69,"Arvin, CA"
70,"Asbury Park, NJ"
71,"Ashburn, VA"
72,"Asheboro, NC"
73,"Asheville, NC"
74,"Ashford, CT"
75,"Ashland, OH"
76,"Ashland, OR"
77,"Ashland, VA"
78,"Ashtabula, OH"
79,"Aspen, CO"
80,"Astoria, NY"
81,"Atascadero, CA"
82,"Atascocita, TX"
83,"Athens, GA"
84,"Athens, OH"
85,"Atlanta, GA"
86,"Atlanta, IL"
87,"Atlantic City, NJ"
88,"Attleboro, MA"
89,"Atwater, CA"
90,"Auburn, AL"
91,"Auburn Hills, MI"
92,"Auburn, MA"
93,"Auburn, ME"
94,"Auburn, NY"
95,"Auburn, WA"
96,"Augusta, GA"
97,"Aurora, CO"
98,"Aurora, IL"
99,"Austin, MN"
100,"Austin, TX"
101,"Aventura, FL"
102,"Avon, CT"
103,"Avon, IN"
104,"Avon, MA"
105,"Avon, OH"
106,"Bad Axe, MI"
107,"Badger, AK"
108,"Bakersfield, CA"
109,"Baltimore, MD"
110,"Banning, CA"
111,"Barkhamsted, CT"
112,"Barrington, RI"
113,"Barstow, CA"
114,"Barstow Heights, CA"
115,"Bartlesville, OK"
116,"Basking Ridge, NJ"
117,"Batavia, NY"
118,"Bath, ME"
119,"Baton Rouge, LA"
120,"Battle Creek, MI"
121,"Battle Ground, WA"
122,"Bay City, MI"
123,"Bayou Cane, LA"
124,"Bayside, CA"
125,"Baytown, TX"
126,"Beachwood, OH"
127,"Beacon Falls, CT"
128,"Beaumont, CA"
129,"Beaumont, TX"
130,"Beaver Creek, CO"
131,"Beaver Dam, WI"
132,"Beaverton, MI"
133,"Beaverton, OR"
134,"Bedford, MA"
135,"Bedford, NH"
136,"Bedminster, NJ"
137,"Bel Air North, MD"
138,"Belleair Bluffs, FL"
139,"Belle Glade, FL"
140,"Belle Mead, NJ"
141,"Belleville, IL"
142,"Belleville, MI"
143,"Bellevue, NE"
144,"Bellevue, WA"
145,"Bellingham, MA"
146,"Bellingham, WA"
147,"Belmont, CA"
148,"Belmont, MI"
149,"Beloit, WI"
150,"Belvidere, IL"
151,"Bemidji, MN"
152,"Bend, OR"
153,"Benton, AR"
154,"Bentonville, AR"
155,"Berkeley, CA"
156,"Berkeley Heights, NJ"
157,"Berlin, CT"
158,"Berlin, DE"
159,"Berwyn, PA"
160,"Bethany, CT"
161,"Bethel, CT"
162,"Bethesda, MD"
163,"Bethlehem, CT"
164,"Bethlehem, PA"
165,"Bettendorf, IA"
166,"Beverly Hills, CA"
167,"Biddeford, ME"
168,"Big Spring, TX"
169,"Billerica, MA"
170,"Billingsley, AL"
171,"Billings, MT"
172,"Biloxi, MS"
173,"Binghamton, NY"
174,"Birmingham, AL"
175,"Birmingham, MI"
176,"Bismarck, ND"
177,"Bixby, OK"
